Zaman damgası,"Okul yemekhanesinin tatlı seçenekleri hakkında ne düşünüyorsunuz? (1: Çok kötü, 5: Mükemmel)","Yemeklerin lezzeti hakkında ne düşünüyorsunuz? (1: Çok kötü, 5: Mükemmel)","Okul yemekhanesinin uzaklığı sizi nasıl etkiliyor? (1: Çok olumsuz, 5: Hiç etkilemiyor)","Okul yemeklerinin fiyatları sizce uygun mu? (1: Çok pahalı, 5: Çok uygun)","Beyaz et ve kırmızı et seçeneklerinin lezzeti hakkında ne düşünüyorsunuz? (1: Çok kötü, 5: Mükemmel)","Beyaz et ve kırmızı etin menülerde çıkmak sıklığı hakkında ne düşünüyorsunuz? (1: Çok kötü, 5: Mükemmel)","Okul yemekhanesinde vegan seçeneği olsaydı, bu tür yemeklerin okul yemekhanesinde bulunmasını ne kadar olumlu bulursunuz?","Okul yemekhanesinin hijyen seviyesi hakkında nasıl bir değerlendirme yaparsınız? (1: Çok kötü, 5: Mükemmel)","Okul yemeklerindeki ürünlerin kalitesi hakkında ne düşünüyorsunuz? (1: Çok kötü, 5: Mükemmel)","Yemeklerin porsiyonları size göre yetersiz mi? (1: Çok yetersiz, 5: Çok yeterli)","Okul yemekhanesinin hizmet saatleri size uygun mu? (1: Çok uygun değil, 5: Çok uygun)","Okul yemekhanesinde içecek çeşitliliği yeterliği hakkında ne düşünüyorsunuz? (1: Çok uygun değil, 5: Çok uygun)","Okul yemekhanesinde içecek çeşitliliği yeterliği hakkında ne düşünüyorsunuz? (1: Çok uygun değil, 5: Çok uygun)","Okul yemekhanesinin sunulan yiyeceklerin çeşitliliği hakkında ne düşünüyorsunuz? (1: Çok az çeşitlilik, 5: Çok fazla çeşitlilik)","Okul yemekhanesinin çevresel sürdürülebilirlik önlemlerine ne kadar önem veriliyor? (1: Çok az , 5: Çok fazla)",Puan,E-posta Adresi
02.11.2023 16:59:20,2,1,1,1,1,1,3,3,1,2,2,1,1,2,1,,
02.11.2023 17:00:24,3,3,2,3,3,1,1,2,3,1,4,2,2,3,3,,
02.11.2023 17:00:26,2,2,1,1,1,2,1,5,2,3,3,4,4,2,3,,
02.11.2023 17:00:27,1,3,1,3,3,1,1,4,3,2,4,3,3,3,1,,
02.11.2023 17:00:29,2,3,2,2,3,4,1,4,4,2,2,3,1,3,4,,
02.11.2023 17:00:36,2,1,3,4,1,4,1,1,1,3,3,1,1,1,1,,
02.11.2023 17:00:44,3,4,5,3,3,5,3,3,4,5,3,2,2,4,1,,
02.11.2023 17:00:59,2,2,2,3,1,3,3,1,1,3,2,1,1,2,2,,
02.11.2023 17:01:23,4,2,2,2,3,2,1,4,2,1,5,1,1,3,3,,
02.11.2023 17:01:34,4,4,3,1,3,2,3,2,3,2,5,1,1,2,3,,
02.11.2023 17:01:53,3,2,4,3,2,4,5,3,3,3,4,1,1,2,3,,
02.11.2023 17:01:55,3,3,5,4,2,3,2,4,2,4,4,2,2,3,3,,
02.11.2023 17:02:03,2,3,3,3,4,3,1,4,2,3,4,2,2,3,3,,
02.11.2023 17:02:28,1,2,1,5,2,3,1,3,3,3,3,1,1,3,3,,
02.11.2023 17:03:04,2,3,5,3,3,2,2,4,3,5,5,1,1,4,3,,
02.11.2023 17:03:04,3,3,3,3,3,3,2,4,3,5,4,3,3,4,2,,
02.11.2023 17:03:12,1,1,3,3,1,2,4,3,1,5,4,1,1,2,3,,
02.11.2023 17:03:13,1,2,2,2,2,4,4,3,3,5,2,1,1,3,4,,
02.11.2023 17:03:16,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,,
02.11.2023 17:03:33,3,2,5,4,2,3,1,3,2,3,3,2,1,2,3,,
